CATEGORIA;TIPO;MARCA/MODELLO;UBICAZIONE;CODICE;NOTE;DOC
ATTREZZATURE ELETTRICHE;ABLATORE AD ULTRASUONI;ABLATORE AD ULTRASUONI A;LABORATORIO;ATTR0001;;
ATTREZZATURE ELETTRICHE;DEIONIZZATORE ACQUA;DEIONIZZATORE ACQUA A;ZANARDI;ATTR0006;;
ATTREZZATURE ELETTRICHE;AGITATORE MAGNETICO;AGITATORE A;CINI;ATTR0007;;
ATTREZZATURE ELETTRICHE;AGITATORE MAGNETICO;AGITATORE B;LABORATORIO;ATTR0008;;
ATTREZZATURE ELETTRICHE;ASPIRAPOLVERI;WURTH A;PALERMO;ATTR0009;;
ATTREZZATURE ELETTRICHE;ASPIRAPOLVERI;FESTOOL A;LABORATORIO;ATTR0010;;
ATTREZZATURE ELETTRICHE;ASPIRAPOLVERI;FESTOOL B;MANDELLI;ATTR0011;;
ATTREZZATURE ELETTRICHE;ASPIRAPOLVERI;FESTOOL C;SALUTE;ATTR0012;;
ATTREZZATURE ELETTRICHE;ASPIRAPOLVERI;CTM MIDI I;VALIER;ATTR0013;;
ATTREZZATURE ELETTRICHE;ASPIRAPOLVERI;KAERCHER WD3;ZANARDI;ATTR0014;;
ATTREZZATURE ELETTRICHE;ASPIRAPOLVERI;LEVOR A;ZANARDI;ATTR0015;;
ATTREZZATURE ELETTRICHE;ASPIRAPOLVERI;ENKE FOX BLOWING 220-240 VAC L;LABORATORIO;ATTR0016;;
ATTREZZATURE ELETTRICHE;AEROGRAFI;AEROGRAFO A;CINI;ATTR0017;;
ATTREZZATURE ELETTRICHE;AEROGRAFI;AEROGRAFO B;CINI;ATTR0018;;
ATTREZZATURE ELETTRICHE;TRAPANI;AVVITATORE YAMATO mod. CDP 20 L2;LABORATORIO;ATTR0019;;
ATTREZZATURE ELETTRICHE;TRAPANI;Bosch GSR/GSB Professional;ZANARDI;ATTR0020;;
ATTREZZATURE ELETTRICHE;TRAPANI;Makita Combo Kit LXT 18V;ZANARDI;ATTR0021;;
ATTREZZATURE ELETTRICHE;TRAPANI;Makita massa battente;ZANARDI;ATTR0022;;
ATTREZZATURE ELETTRICHE;TRAPANI TASSELLATORI;BOSCH;ZANARDI;ATTR0023;;
ATTREZZATURE ELETTRICHE;TRAPANI TASSELLATORI;WURTH;ZANARDI;ATTR0024;;
FOTOCAMERE / MICROSCOPI;DINOLITE;DINOLITE A;CINI;ATTR0025;;
FOTOCAMERE / MICROSCOPI;DINOLITE;DINOLITE B;LABORATORIO;ATTR0026;;
ATTREZZATURE ELETTRICHE;TERMOCAUTERIO;TERMOCAUTERIO;TRIESTE;ATTR0027;;
ATTREZZATURE ELETTRICHE;TERMOSIFONE;TERMOSIFONE;LABORATORIO;ATTR0028;;
ATTREZZATURE ELETTRICHE;SMERIGLIATRICI;A BATTERIA WURTH;ZANARDI;ATTR0029;;
ATTREZZATURE ELETTRICHE;SMERIGLIATRICI;METABO;SALUTE;ATTR0030;;
ATTREZZATURE ELETTRICHE;SMERIGLIATRICI;RUPES;SALUTE;ATTR0031;;
ATTREZZATURE ELETTRICHE;SMERIGLIATRICI;230mm MAKITA GRANDE CON DISCO (senza spina);LABORATORIO;ATTR0032;;
ATTREZZATURE ELETTRICHE;SMERIGLIATRICI;Bosch a corrente GWS 13-125 CIE;ZANARDI;ATTR0033;;
ATTREZZATURE ELETTRICHE;COMPRESSORI;PICCOLO;LABORATORIO;ATTR0036;;
ATTREZZATURE ELETTRICHE;ATTREZZATURA IBIX;ELETTROCOMPRESSORE;ZANARDI;ATTR0037;;
ATTREZZATURE ELETTRICHE;ATTREZZATURA IBIX;ESSICCATORE;PALERMO;ATTR0038;;
ATTREZZATURE ELETTRICHE;ATTREZZATURA IBIX;TUBI AD ARIA COMPRESSA;PALERMO;ATTR0039;;
ATTREZZATURE ELETTRICHE;ATTREZZATURA IBIX;SEPARATORE DI CONDENSA;PALERMO;ATTR0040;;
ATTREZZATURE ELETTRICHE;BILANCE;VIGOR;LABORATORIO;ATTR0041;;
ATTREZZATURE ELETTRICHE;BILANCE;BEIGE;ZANARDI;ATTR0042;;
ATTREZZATURE ELETTRICHE;BILANCE;BILANCIA A;CINI;ATTR0043;;
ATTREZZATURE ELETTRICHE;BOLLITORI;BOLLITORE A;CINI;ATTR0044;;
ATTREZZATURE ELETTRICHE;BOLLITORI;BOLLITORE B;LABORATORIO;ATTR0045;;
ATTREZZATURE ELETTRICHE;BOLLITORI;BOLLITORE C;FRIGERIO;ATTR0046;;
ATTREZZATURE ELETTRICHE;BOLLITORI;BOLLITORE D;FRIGERIO;ATTR0047;;
ATTREZZATURE ELETTRICHE;DREMEL;3000 CON FILO A;LABORATORIO;ATTR0048;;
ATTREZZATURE ELETTRICHE;DREMEL;3000 CON FILO B;LABORATORIO;ATTR0049;;
ATTREZZATURE ELETTRICHE;DREMEL;3000 CON FILO C;MANDELLI;ATTR0050;;
ATTREZZATURE ELETTRICHE;DREMEL;3000 CON FILO D;ZANARDI;ATTR0051;;
ATTREZZATURE ELETTRICHE;DREMEL;8220 RICARICABILE;SALUTE;ATTR0052;;
ATTREZZATURE ELETTRICHE;DREMEL;LITE CORDLESS;LABORATORIO;ATTR0053;;
ATTREZZATURE ELETTRICHE;DREMEL;KAERCHER K5;ZANARDI;ATTR0054;;
ATTREZZATURE ELETTRICHE;IDROPULITRICE;KAERCHER K7;ZANARDI;ATTR0055;;
