CATEGORIA;TIPO;MARCA/MODELLO;UBICAZIONE;CODICE;SCHEDA/MANUALE
ATTREZZATURE LABORATORIO;ABLATORE AD ULTRASUONI;ABLATORE AD ULTRASUONI A;LABORATORIO;ATTR0001;
ATTREZZATURE LABORATORIO;DEIONIZZATORE ACQUA;DEIONIZZATORE ACQUA A;ZANARDI;ATTR0006;
ATTREZZATURE LABORATORIO;AGITATORE MAGNETICO;AGITATORE A;CINI;ATTR0007;
ATTREZZATURE LABORATORIO;AGITATORE MAGNETICO;AGITATORE B;LABORATORIO;ATTR0008;
ATTREZZATURE MANUTENZIONE E PULIZIA;ASPIRAPOLVERI;WURTH A;PALERMO;ATTR0009;
ATTREZZATURE MANUTENZIONE E PULIZIA;ASPIRAPOLVERI;FESTOOL A;LABORATORIO;ATTR0010;
ATTREZZATURE MANUTENZIONE E PULIZIA;ASPIRAPOLVERI;FESTOOL B;MANDELLI;ATTR0011;
ATTREZZATURE MANUTENZIONE E PULIZIA;ASPIRAPOLVERI;FESTOOL C;SALUTE;ATTR0012;
ATTREZZATURE MANUTENZIONE E PULIZIA;ASPIRAPOLVERI;CTM MIDI I;VALIER;ATTR0013;
ATTREZZATURE MANUTENZIONE E PULIZIA;ASPIRAPOLVERI;KAERCHER WD3;ZANARDI;ATTR0014;
ATTREZZATURE MANUTENZIONE E PULIZIA;ASPIRAPOLVERI;LEVOR A;ZANARDI;ATTR0015;
ATTREZZATURE MANUTENZIONE E PULIZIA;ASPIRAPOLVERI;ENKE FOX BLOWING 220-240 VAC L;LABORATORIO;ATTR0016;
ATTREZZATURE LABORATORIO;AEROGRAFI;AEROGRAFO A;CINI;ATTR0017;
ATTREZZATURE LABORATORIO;AEROGRAFI;AEROGRAFO B;CINI;ATTR0018;
STRUMENTI PER LAVORAZIONI;TRAPANI;AVVITATORE YAMATO mod. CDP 20 L2;LABORATORIO;ATTR0019;
STRUMENTI PER LAVORAZIONI;TRAPANI;Bosch GSR/GSB Professional;ZANARDI;ATTR0020;
STRUMENTI PER LAVORAZIONI;TRAPANI;Makita Combo Kit LXT 18V;ZANARDI;ATTR0021;
STRUMENTI PER LAVORAZIONI;TRAPANI;Makita massa battente;LABORATORIO;ATTR0022;
STRUMENTI PER LAVORAZIONI;TRAPANI TASSELLATORI;BOSCH;ZANARDI;ATTR0023;
STRUMENTI PER LAVORAZIONI;TRAPANI TASSELLATORI;WURTH;ZANARDI;ATTR0024;
FOTOCAMERE / MICROSCOPI;DINOLITE;DINOLITE A;CINI;ATTR0025;
FOTOCAMERE / MICROSCOPI;DINOLITE;DINOLITE B;LABORATORIO;ATTR0026;
ATTREZZATURE LABORATORIO;TERMOCAUTERIO;CTS artist III;TRIESTE;ATTR0027;
ELETTRODOMESTICI;TERMOSIFONE;TERMOSIFONE;LABORATORIO;ATTR0028;
STRUMENTI PER LAVORAZIONI;SMERIGLIATRICI;A BATTERIA WURTH;ZANARDI;ATTR0029;
STRUMENTI PER LAVORAZIONI;SMERIGLIATRICI;METABO;SALUTE;ATTR0030;
STRUMENTI PER LAVORAZIONI;SMERIGLIATRICI;RUPES;SALUTE;ATTR0031;
STRUMENTI PER LAVORAZIONI;SMERIGLIATRICI;230mm MAKITA GRANDE CON DISCO (senza spina);LABORATORIO;ATTR0032;
STRUMENTI PER LAVORAZIONI;SMERIGLIATRICI;Bosch a corrente GWS 13-125 CIE;ZANARDI;ATTR0033;
ATTREZZATURE MANUTENZIONE E PULIZIA;COMPRESSORI;PICCOLO;LABORATORIO;ATTR0036;
ATTREZZATURE MANUTENZIONE E PULIZIA;ATTREZZATURA IBIX;ELETTROCOMPRESSORE;ZANARDI;ATTR0037;
ATTREZZATURE MANUTENZIONE E PULIZIA;ATTREZZATURA IBIX;ESSICCATORE;PALERMO;ATTR0038;
ATTREZZATURE MANUTENZIONE E PULIZIA;ATTREZZATURA IBIX;TUBI AD ARIA COMPRESSA;PALERMO;ATTR0039;
ATTREZZATURE MANUTENZIONE E PULIZIA;ATTREZZATURA IBIX;SEPARATORE DI CONDENSA;PALERMO;ATTR0040;
STRUMENTI MISURA;BILANCE;VIGOR;LABORATORIO;ATTR0041;
STRUMENTI MISURA;BILANCE;BEIGE;ZANARDI;ATTR0042;
STRUMENTI MISURA;BILANCE;BILANCIA A;CINI;ATTR0043;
ELETTRODOMESTICI;BOLLITORI;BOLLITORE A;CINI;ATTR0044;
ELETTRODOMESTICI;BOLLITORI;BOLLITORE B;LABORATORIO;ATTR0045;
ELETTRODOMESTICI;BOLLITORI;BOLLITORE C;FRIGERIO;ATTR0046;
ELETTRODOMESTICI;BOLLITORI;BOLLITORE D;FRIGERIO;ATTR0047;
STRUMENTI PER LAVORAZIONI;DREMEL;3000 CON FILO A;ZANARDI;ATTR0048;
STRUMENTI PER LAVORAZIONI;DREMEL;3000 CON FILO B;LABORATORIO;ATTR0049;
STRUMENTI PER LAVORAZIONI;DREMEL;3000 CON FILO C;MANDELLI;ATTR0050;
STRUMENTI PER LAVORAZIONI;DREMEL;3000 CON FILO D;ZANARDI;ATTR0051;
STRUMENTI PER LAVORAZIONI;DREMEL;8220 RICARICABILE;SALUTE;ATTR0052;
STRUMENTI PER LAVORAZIONI;DREMEL;LITE CORDLESS;ZANARDI;ATTR0053;
ATTREZZATURE MANUTENZIONE E PULIZIA;IDROPULITRICE;KAERCHER K5;ZANARDI;ATTR0054;
