ID;CATEGORIA;TIPO;UM
MATE001;SOLVENTI;    Ciclometicone D4;L
MATE002;SOLVENTI;Acetone ;L
MATE003;SOLVENTI;Acido Citrico;KG
MATE004;SOLVENTI;Acqua demineralizzata.;L
MATE005;SOLVENTI;Acqua ossigenata 130 vol.;L
MATE006;SOLVENTI;Acqua ossigenata dil. 35%;L
MATE007;SOLVENTI;Acquaragia;L
MATE008;SOLVENTI;Alcol etilico rosa 90°;L
MATE009;SOLVENTI;Alcool Benzilico;L
MATE010;SOLVENTI;Alcool etilico;L
MATE011;SOLVENTI;Alcool etilico denaturato 94°;L
MATE012;SOLVENTI;Alcool Etilico Denaturato 99°;L
MATE013;SOLVENTI;Alcool isopropilico ;L
MATE014;SOLVENTI;Alcool polivinilico;L
MATE015;SOLVENTI;Ammoniaca;L
MATE016;SOLVENTI;C 2000 (Contrad);L
MATE017;SOLVENTI;Candeggina;L
MATE018;SOLVENTI;Carbonato di ammonio ;KG
MATE019;SOLVENTI;Cicloesano;L
MATE020;SOLVENTI;TETRALINA SMACCHIATORE;L
MATE021;SOLVENTI;Diluente Nitro;L
MATE022;SOLVENTI;Diluente poliuretanico DT0441/00-1;L
MATE023;SOLVENTI;Dimetil Solfossido;L
MATE024;SOLVENTI;EDTA Bisodico;KG
MATE025;SOLVENTI;EDTA Tetrasodico;KG
MATE026;SOLVENTI;Essenza di trementina pura;L
MATE027;SOLVENTI;Etanolo;L
MATE028;SOLVENTI;Etile Acetato;L
MATE029;SOLVENTI;Ionex OH resina a scambio ionico;L
MATE030;SOLVENTI;Ligroina;L
MATE031;SOLVENTI;Metiletilchetone;L
MATE032;SOLVENTI;Propilene carbonato ;L
MATE033;SOLVENTI;Rust Remover gel BELLINZONI;L
MATE034;SOLVENTI;Spray rimuovi silicone e colle MAURER;L
MATE035;SOLVENTI;Sgrassante x metalli CTS;L
MATE036;SOLVENTI;Sverniciatori;L
MATE037;SOLVENTI;Tween 20;L
MATE038;SOLVENTI;White spirit;L
MATE039;SOLVENTI;White spirit D-40 Antares;L
MATE040;SUPPORTANTI;Carbossimetilcellulosa (CMC);KG
MATE041;SUPPORTANTI;Cotone oro cts;KG
MATE042;SUPPORTANTI;Cotone idrofilo;KG
MATE043;SUPPORTANTI;Etilcellulosa;KG
MATE044;SUPPORTANTI;Klucel G;KG
MATE045;SUPPORTANTI;Polpa di carta;KG
MATE046;SUPPORTANTI;Carta Giapponese;F
MATE047;SUPPORTANTI;Sepiolite;KG
MATE048;BIOCIDI;Antitarlo Fungicida;L
MATE049;BIOCIDI;Anti tarlo Complet;L
MATE050;BIOCIDI;Biotin T;L
MATE051;BIOCIDI;Diserbante totale  Gliphogan ;L
MATE052;BIOCIDI;Elimina infestanti IBIX;L
MATE053;BIOCIDI;Erbicida (TAIFUN);L
MATE054;BIOCIDI;Essenzio IBIX;L
MATE055;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Silicel 100;KG
MATE056;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Calce Pozzolanica Pantheon Calchera;KG
MATE057;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Syton X 30;L
MATE058;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Acril 33;L
MATE059;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Eco cera liquida;L
MATE060;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Acril me;L
MATE061;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Antiruggine a pennello A+B Mapefer MAPEI;KG
MATE062;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Acqua calce fissaivo ;L
MATE063;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Antiruggine sintetica fosfato di Zn grigio ARDINOX ARD;L
MATE064;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Cera naturale UN1993;L
MATE065;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Cera d'api;KG
MATE066;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Resina Epossidica SX8;L
MATE067;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Adesivo Epossidico Easy Bond-A;L
MATE068;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Epo 121 + k122(indurente);KG
MATE069;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Epo 150 + k151(indurente) - UN2735 CTS;KG
MATE070;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Estel 1000;L
MATE071;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Ferox;L
MATE072;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;gomma lacca ;L
MATE073;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;NANO RESTORE;L
MATE074;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Nanoestel ;L
MATE075;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Ovatrol;L
MATE076;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Paraloid B44;KG
MATE077;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Paraloid B72 ;KG
MATE078;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Paraloid B82;KG
MATE079;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Laropal A 81;KG
MATE080;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Plextol B500;KG
MATE081;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;NANO ESTEL;L
MATE082;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;kit consolidanti prove Siltea;L
MATE083;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;PLM A;L
MATE084;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;protettivoI-PROTECT (IBIX);L
MATE085;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Silo 111;L
MATE086;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Tenax rivo50 A+B (EPO forte liquida);KG
MATE087;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Vinavil;L
MATE088;COLORI VERNICI LEGANTI;Blocca ruggine;L
MATE089;COLORI VERNICI LEGANTI;Ardfix;L
MATE090;COLORI VERNICI LEGANTI;Rust convertitore;L
MATE091;COLORI VERNICI LEGANTI;SCATOLA COLORI VARI;L
MATE092;COLORI VERNICI LEGANTI;Regalrez;L
MATE093;COLORI VERNICI LEGANTI;Fiele di bue;L
MATE094;COLORI VERNICI LEGANTI;Pan Pastel;L
MATE095;COLORI VERNICI LEGANTI;Kit colori da ritocco PUREST;L
MATE096;COLORI VERNICI LEGANTI;Kit Pigmenti Martina;L
MATE097;COLORI VERNICI LEGANTI;Pigmento Giallo Ocra;L
MATE098;COLORI VERNICI LEGANTI;Pigmenti vari;L
MATE099;COLORI VERNICI LEGANTI;Silicato di Litio Calchera;L
MATE100;COLORI VERNICI LEGANTI;Lavaferro;L
MATE101;COLORI VERNICI LEGANTI;Sintolin nero lucido (S MARCO);L
MATE102;COLORI VERNICI LEGANTI;Smalto anticorrosivo micaceo canna di fucile S.MARCO;L
MATE103;COLORI VERNICI LEGANTI;Smalto antiruggine effetto antico antracite grana fine ROVER;L
MATE104;COLORI VERNICI LEGANTI;Smalto seta bianco San Marco;L
MATE105;COLORI VERNICI LEGANTI;SIFILIX;L
MATE106;COLORI VERNICI LEGANTI;Coloranti  per silicati;L
MATE107;COLORI VERNICI LEGANTI;Smalti;L
MATE108;INERTI;Rosso verona '000;KG
MATE109;INERTI;Bianco Verona 000;KG
MATE110;INERTI;Malta bastarda ;KG
MATE111;INERTI;Botticino;KG
MATE112;INERTI;Carbonato di Calcio Bianco;KG
MATE113;INERTI;Carbonato di calcio micronizzato;KG
MATE114;INERTI;COCCIO PESTO 0 -3 mm;KG
MATE115;INERTI;Coccio pesto  2 -5 mm;KG
MATE116;INERTI;Coccio pesto giallo 1-3 mm;KG
MATE117;INERTI;Cocciopesto (0-0,2mm);KG
