CODICE;CATEGORIA;TIPO;soglia_minima;;;;;;;;
MATE0001;SOLVENTI;    Ciclometicone D4;L;;;;;;;;
MATE0002;SOLVENTI;Acetone ;L;;;;;;;;
MATE0003;SOLVENTI;Acido Citrico;KG;;;;;;;;
MATE0004;SOLVENTI;Acqua demineralizzata.;L;;;;;;;;
MATE0005;SOLVENTI;Acqua ossigenata 130 vol.;L;;;;;;;;
MATE0006;SOLVENTI;Acqua ossigenata dil. 35%;L;;;;;;;;
MATE0007;SOLVENTI;Acquaragia;L;;;;;;;;
MATE0008;SOLVENTI;Alcol etilico rosa 90°;L;;;;;;;;
MATE0009;SOLVENTI;Alcool Benzilico;L;;;;;;;;
MATE0010;SOLVENTI;Alcool etilico;L;;;;;;;;
MATE0011;SOLVENTI;Alcool etilico denaturato 94°;L;;;;;;;;
MATE0012;SOLVENTI;Alcool Etilico Denaturato 99°;L;;;;;;;;
MATE0013;SOLVENTI;Alcool isopropilico ;L;;;;;;;;
MATE0014;SOLVENTI;Alcool polivinilico;L;;;;;;;;
MATE0015;SOLVENTI;Ammoniaca;L;;;;;;;;
MATE0016;SOLVENTI;C 2000 (Contrad);L;;;;;;;;
MATE0017;SOLVENTI;Candeggina;L;;;;;;;;
MATE0018;SOLVENTI;Carbonato di ammonio ;KG;;;;;;;;
MATE0019;SOLVENTI;Cicloesano;L;;;;;;;;
MATE0020;SOLVENTI;TETRALINA SMACCHIATORE;L;;;;;;;;
MATE0021;SOLVENTI;Diluente Nitro;L;;;;;;;;
MATE0022;SOLVENTI;Diluente poliuretanico DT0441/00-1;L;;;;;;;;
MATE0023;SOLVENTI;Dimetil Solfossido;L;;;;;;;;
MATE0024;SOLVENTI;EDTA Bisodico;KG;;;;;;;;
MATE0025;SOLVENTI;EDTA Tetrasodico;KG;;;;;;;;
MATE0026;SOLVENTI;Essenza di trementina pura;L;;;;;;;;
MATE0027;SOLVENTI;Etanolo;L;;;;;;;;
MATE0028;SOLVENTI;Etile Acetato;L;;;;;;;;
MATE0029;SOLVENTI;Ionex OH resina a scambio ionico;L;;;;;;;;
MATE0030;SOLVENTI;Ligroina;L;;;;;;;;
MATE0031;SOLVENTI;Metiletilchetone;L;;;;;;;;
MATE0032;SOLVENTI;Propilene carbonato ;L;;;;;;;;
MATE0033;SOLVENTI;Rust Remover gel BELLINZONI;L;;;;;;;;
MATE0034;SOLVENTI;Spray rimuovi silicone e colle MAURER;L;;;;;;;;
MATE0035;SOLVENTI;Sgrassante x metalli CTS;L;;;;;;;;
MATE0036;SOLVENTI;Sverniciatori;L;;;;;;;;
MATE0037;SOLVENTI;Tween 20;L;;;;;;;;
MATE0038;SOLVENTI;White spirit;L;;;;;;;;
MATE0039;SOLVENTI;White spirit D-40 Antares;L;;;;;;;;
MATE0040;SUPPORTANTI;Carbossimetilcellulosa (CMC);KG;;;;;;;;
MATE0041;SUPPORTANTI;Cotone oro cts;KG;;;;;;;;
MATE0042;SUPPORTANTI;Cotone idrofilo;KG;;;;;;;;
MATE0043;SUPPORTANTI;Etilcellulosa;KG;;;;;;;;
MATE0044;SUPPORTANTI;Klucel G;KG;;;;;;;;
MATE0045;SUPPORTANTI;Polpa di carta;KG;;;;;;;;
MATE0046;SUPPORTANTI;Carta Giapponese;F;;;;;;;;
MATE0047;SUPPORTANTI;Sepiolite;KG;;;;;;;;
MATE0048;BIOCIDI;Antitarlo Fungicida;L;;;;;;;;
MATE0049;BIOCIDI;Anti tarlo Complet;L;;;;;;;;
MATE0050;BIOCIDI;Biotin T;L;;;;;;;;
MATE0051;BIOCIDI;Diserbante totale  Gliphogan ;L;;;;;;;;
MATE0052;BIOCIDI;Elimina infestanti IBIX;L;;;;;;;;
MATE0053;BIOCIDI;Erbicida (TAIFUN);L;;;;;;;;
MATE0054;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Silicel 100;KG;;;;;;;;
MATE0055;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Calce Pozzolanica Pantheon Calchera;KG;;;;;;;;
MATE0056;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Syton X 30;L;;;;;;;;
MATE0057;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Acril 33;L;;;;;;;;
MATE0058;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Eco cera liquida;L;;;;;;;;
MATE0059;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Acril me;L;;;;;;;;
