id;codice_materiale;categoria;tipo;unita_misura;
1;MATE001;SOLVENTI;Ciclometicone D4;L;
2;MATE002;SOLVENTI;Acetone;L;
3;MATE003;SOLVENTI;Acido Citrico;KG;
4;MATE004;SOLVENTI;Acqua demineralizzata.;L;
5;MATE005;SOLVENTI;Acqua ossigenata 130 vol.;L;
6;MATE006;SOLVENTI;Acqua ossigenata dil. 35%;L;
7;MATE007;SOLVENTI;Acquaragia;L;
8;MATE008;SOLVENTI;Alcol etilico rosa 90°;L;
9;MATE009;SOLVENTI;Alcool Benzilico;L;
10;MATE010;SOLVENTI;Alcool etilico;L;specificare meglio il tipo
11;MATE011;SOLVENTI;Alcool etilico denaturato 94°;L;
12;MATE012;SOLVENTI;Alcool Etilico Denaturato 99°;L;
13;MATE013;SOLVENTI;Alcool isopropilico;L;
14;MATE014;SOLVENTI;Alcool polivinilico;L;
15;MATE015;SOLVENTI;Ammoniaca;L;
16;MATE016;SOLVENTI;C 2000 (Contrad);L;
17;MATE017;SOLVENTI;Candeggina;L;
18;MATE018;SOLVENTI;Carbonato di ammonio;KG;
19;MATE019;SOLVENTI;Cicloesano;L;
20;MATE020;SOLVENTI;TETRALINA SMACCHIATORE;L;
21;MATE021;SOLVENTI;Diluente Nitro;L;
22;MATE022;SOLVENTI;Diluente poliuretanico DT0441/00-1;L;
23;MATE023;SOLVENTI;Dimetil Solfossido;L;
24;MATE024;SOLVENTI;EDTA Bisodico;KG;
25;MATE025;SOLVENTI;EDTA Tetrasodico;KG;
26;MATE026;SOLVENTI;Essenza di trementina pura;L;
27;MATE027;SOLVENTI;Etanolo;L;
28;MATE028;SOLVENTI;Etile Acetato;L;
29;MATE029;SOLVENTI;Ionex OH resina a scambio ionico;L;
30;MATE030;SOLVENTI;Ligroina;L;
31;MATE031;SOLVENTI;Metiletilchetone;L;
32;MATE032;SOLVENTI;Propilene carbonato;L;
33;MATE033;SOLVENTI;Rust Remover gel BELLINZONI;L;
34;MATE034;SOLVENTI;Spray rimuovi silicone e colle MAURER;L;
35;MATE035;SOLVENTI;Sgrassante x metalli CTS;L;
36;MATE036;SOLVENTI;Sverniciatori;L;
37;MATE037;SOLVENTI;Tween 20;L;
38;MATE038;SOLVENTI;White spirit;L;
39;MATE039;SOLVENTI;White spirit D-40 Antares;L;
40;MATE040;SUPPORTANTI;Carbossimetilcellulosa (CMC);KG;
41;MATE041;SUPPORTANTI;Cotone oro cts;KG;
42;MATE042;SUPPORTANTI;Cotone idrofilo;KG;
43;MATE043;SUPPORTANTI;Etilcellulosa;KG;
44;MATE044;SUPPORTANTI;Klucel G;KG;
45;MATE045;SUPPORTANTI;Polpa di carta;KG;
46;MATE046;SUPPORTANTI;Carta Giapponese;F;
47;MATE047;SUPPORTANTI;Sepiolite;KG;
48;MATE048;BIOCIDI;Antitarlo Fungicida;L;
49;MATE049;BIOCIDI;Antitarlo Complet;L;
50;MATE050;BIOCIDI;Biotin T;L;
51;MATE051;BIOCIDI;Diserbante totale  Gliphogan;L;
52;MATE052;BIOCIDI;Elimina infestanti IBIX;L;x
53;MATE053;BIOCIDI;Erbicida (TAIFUN);L;
54;MATE054;BIOCIDI;Essenzio IBIX;L;x
55;MATE055;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Silicel 100;KG;
56;MATE056;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Calce Pozzolanica Pantheon Calchera;KG;
57;MATE057;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Syton X 30;L;
58;MATE058;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Acril 33;L;
59;MATE059;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Eco cera liquida;L;
60;MATE060;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Acril me;L;
61;MATE061;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Antiruggine a pennello A+B Mapefer MAPEI;KG;
62;MATE062;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Acqua calce fissaivo;L;
63;MATE063;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Antiruggine sintetica fosfato di Zn grigio ARDINOX ARD;L;
64;MATE064;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Cera naturale UN1993;L;
65;MATE065;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Cera d'api;KG;
66;MATE066;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Resina Epossidica SX8;L;
67;MATE067;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Adesivo Epossidico Easy Bond-A;L;
68;MATE068;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Epo 121 + k122(indurente);KG;
69;MATE069;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Epo 150 + k151(indurente) - UN2735 CTS;KG;
70;MATE070;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Estel 1000;L;
71;MATE071;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Ferox;L;
72;MATE072;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;gomma lacca;L;
73;MATE073;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;NANO RESTORE;L;
74;MATE074;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;NANO ESTEL;L;aggregato
75;MATE075;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Ovatrol;L;
76;MATE076;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Paraloid B44;KG;
77;MATE077;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Paraloid B72;KG;
78;MATE078;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Paraloid B82;KG;
79;MATE079;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Laropal A 81;KG;
80;MATE080;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;Plextol B500;KG;
81;MATE081;CONSOLIDANTI, PROTETTIVI, RESINE E COLLE;NANO ESTEL;L;
