ID;Ubicazione;Quantita
MATE001;LABORATORIO;3
MATE001;ZANARDI;0
MATE001;CINI;0
MATE001;MANDELLI;0
MATE001;SALUTE;0
MATE001;PALAZZINA MARFISA;0
MATE001;MAGAZZINO;0
MATE001;VALIER;0
MATE001;TRIESTE;0
MATE002;LABORATORIO;1
MATE002;ZANARDI;5
MATE002;CINI;5
MATE002;MANDELLI;0
MATE002;SALUTE;0
MATE002;PALAZZINA MARFISA;0
MATE002;MAGAZZINO;0
MATE002;VALIER;0
MATE002;TRIESTE;3
MATE003;LABORATORIO;2
MATE003;ZANARDI;0
MATE003;CINI;0
MATE003;MANDELLI;0
MATE003;SALUTE;0
MATE003;PALAZZINA MARFISA;0
MATE003;MAGAZZINO;0
MATE003;VALIER;0
MATE003;TRIESTE;0
MATE004;LABORATORIO;6
MATE004;ZANARDI;0,5
MATE004;CINI;0
MATE004;MANDELLI;0
MATE004;SALUTE;0
MATE004;PALAZZINA MARFISA;5
MATE004;MAGAZZINO;0
MATE004;VALIER;0
MATE004;TRIESTE;0
MATE005;LABORATORIO;9
MATE005;ZANARDI;0
MATE005;CINI;0
MATE005;MANDELLI;0
MATE005;SALUTE;0
MATE005;PALAZZINA MARFISA;0
MATE005;MAGAZZINO;0
MATE005;VALIER;0
MATE005;TRIESTE;0
MATE006;LABORATORIO;5
MATE006;ZANARDI;0
MATE006;CINI;0
MATE006;MANDELLI;0
MATE006;SALUTE;0
MATE006;PALAZZINA MARFISA;0
MATE006;MAGAZZINO;0
MATE006;VALIER;0
MATE006;TRIESTE;0
MATE007;LABORATORIO;0,4
MATE007;ZANARDI;0
MATE007;CINI;0
MATE007;MANDELLI;0
MATE007;SALUTE;0
MATE007;PALAZZINA MARFISA;0
MATE007;MAGAZZINO;0
MATE007;VALIER;0
MATE007;TRIESTE;0
MATE008;LABORATORIO;1
MATE008;ZANARDI;2
MATE008;CINI;0
MATE008;MANDELLI;0
MATE008;SALUTE;0
MATE008;PALAZZINA MARFISA;0
MATE008;MAGAZZINO;0
MATE008;VALIER;0
MATE008;TRIESTE;0
MATE009;LABORATORIO;1
MATE009;ZANARDI;0
MATE009;CINI;0
MATE009;MANDELLI;0
MATE009;SALUTE;0
MATE009;PALAZZINA MARFISA;0
MATE009;MAGAZZINO;0
MATE009;VALIER;0
MATE009;TRIESTE;0
MATE010;LABORATORIO;20
MATE010;ZANARDI;0
MATE010;CINI;2,5
MATE010;MANDELLI;0
MATE010;SALUTE;0
MATE010;PALAZZINA MARFISA;0
MATE010;MAGAZZINO;0
MATE010;VALIER;0
MATE010;TRIESTE;0
MATE011;LABORATORIO;0
MATE011;ZANARDI;5
MATE011;CINI;0
MATE011;MANDELLI;0
MATE011;SALUTE;0
MATE011;PALAZZINA MARFISA;15
MATE011;MAGAZZINO;0
MATE011;VALIER;0
MATE011;TRIESTE;0
MATE012;LABORATORIO;0
MATE012;ZANARDI;5
MATE012;CINI;0
MATE012;MANDELLI;0
MATE012;SALUTE;0
MATE012;PALAZZINA MARFISA;0
MATE012;MAGAZZINO;0
MATE012;VALIER;0
MATE012;TRIESTE;0
MATE013;LABORATORIO;1
MATE013;ZANARDI;0
MATE013;CINI;1
MATE013;MANDELLI;0
MATE013;SALUTE;0
MATE013;PALAZZINA MARFISA;1
MATE013;MAGAZZINO;0
MATE013;VALIER;0
MATE013;TRIESTE;0
MATE014;LABORATORIO;0
MATE014;ZANARDI;0
MATE014;CINI;1
MATE014;MANDELLI;0
MATE014;SALUTE;0
MATE014;PALAZZINA MARFISA;1
MATE014;MAGAZZINO;0
MATE014;VALIER;0
MATE014;TRIESTE;0
MATE015;LABORATORIO;2
MATE015;ZANARDI;0
MATE015;CINI;0
MATE015;MANDELLI;0
MATE015;SALUTE;0
MATE015;PALAZZINA MARFISA;0
MATE015;MAGAZZINO;0
MATE015;VALIER;0
MATE015;TRIESTE;0
MATE016;LABORATORIO;0
MATE016;ZANARDI;3
MATE016;CINI;0
MATE016;MANDELLI;0
MATE016;SALUTE;0
MATE016;PALAZZINA MARFISA;0
MATE016;MAGAZZINO;0
MATE016;VALIER;0
MATE016;TRIESTE;0
MATE017;LABORATORIO;6
MATE017;ZANARDI;0
MATE017;CINI;0
MATE017;MANDELLI;0
MATE017;SALUTE;0
MATE017;PALAZZINA MARFISA;0
MATE017;MAGAZZINO;0
MATE017;VALIER;0
MATE017;TRIESTE;0
MATE018;LABORATORIO;0
MATE018;ZANARDI;70
MATE018;CINI;0
MATE018;MANDELLI;25
MATE018;SALUTE;0
MATE018;PALAZZINA MARFISA;8
MATE018;MAGAZZINO;0
MATE018;VALIER;0
MATE018;TRIESTE;0
MATE019;LABORATORIO;1,5
MATE019;ZANARDI;0
MATE019;CINI;0
MATE019;MANDELLI;0
MATE019;SALUTE;0
MATE019;PALAZZINA MARFISA;0
MATE019;MAGAZZINO;0
MATE019;VALIER;0
MATE019;TRIESTE;0
MATE020;LABORATORIO;0,1
MATE020;ZANARDI;0
MATE020;CINI;0
MATE020;MANDELLI;0
MATE020;SALUTE;0
MATE020;PALAZZINA MARFISA;0
MATE020;MAGAZZINO;0
MATE020;VALIER;0
MATE020;TRIESTE;0
MATE021;LABORATORIO;7
MATE021;ZANARDI;0
MATE021;CINI;0
MATE021;MANDELLI;0
MATE021;SALUTE;0
MATE021;PALAZZINA MARFISA;0
MATE021;MAGAZZINO;0
MATE021;VALIER;0
MATE021;TRIESTE;0
MATE022;LABORATORIO;3
MATE022;ZANARDI;0
MATE022;CINI;0
MATE022;MANDELLI;0
MATE022;SALUTE;0
MATE022;PALAZZINA MARFISA;0
MATE022;MAGAZZINO;0
MATE022;VALIER;0
MATE022;TRIESTE;0
MATE023;LABORATORIO;0
MATE023;ZANARDI;0
MATE023;CINI;0,5
MATE023;MANDELLI;0
MATE023;SALUTE;0
MATE023;PALAZZINA MARFISA;0
MATE023;MAGAZZINO;0
MATE023;VALIER;0
MATE023;TRIESTE;0
MATE024;LABORATORIO;0
MATE024;ZANARDI;20
MATE024;CINI;0
MATE024;MANDELLI;3
MATE024;SALUTE;0
MATE024;PALAZZINA MARFISA;0
MATE024;MAGAZZINO;0
MATE024;VALIER;0
MATE024;TRIESTE;0
MATE025;LABORATORIO;0
MATE025;ZANARDI;7
MATE025;CINI;0
MATE025;MANDELLI;3
MATE025;SALUTE;0
MATE025;PALAZZINA MARFISA;0
MATE025;MAGAZZINO;0
MATE025;VALIER;0
MATE025;TRIESTE;0
MATE026;LABORATORIO;5
MATE026;ZANARDI;0
MATE026;CINI;0
MATE026;MANDELLI;0
MATE026;SALUTE;0
MATE026;PALAZZINA MARFISA;0
MATE026;MAGAZZINO;0
MATE026;VALIER;0
MATE026;TRIESTE;0
MATE027;LABORATORIO;0
MATE027;ZANARDI;5
MATE027;CINI;0
MATE027;MANDELLI;0
MATE027;SALUTE;0
MATE027;PALAZZINA MARFISA;0
MATE027;MAGAZZINO;0
MATE027;VALIER;0
MATE027;TRIESTE;0
MATE028;LABORATORIO;10
MATE028;ZANARDI;0
MATE028;CINI;0
MATE028;MANDELLI;0
MATE028;SALUTE;0
MATE028;PALAZZINA MARFISA;0
MATE028;MAGAZZINO;0
MATE028;VALIER;0
MATE028;TRIESTE;0
MATE029;LABORATORIO;0
MATE029;ZANARDI;2
MATE029;CINI;0
MATE029;MANDELLI;0
MATE029;SALUTE;0
MATE029;PALAZZINA MARFISA;0
MATE029;MAGAZZINO;0
MATE029;VALIER;0
MATE029;TRIESTE;0
MATE030;LABORATORIO;4
MATE030;ZANARDI;0
MATE030;CINI;5
MATE030;MANDELLI;0
MATE030;SALUTE;0
MATE030;PALAZZINA MARFISA;0
MATE030;MAGAZZINO;0
MATE030;VALIER;0
MATE030;TRIESTE;1
